store,category,name,price,product_link,common_category,product-link,image_url
al-fateh,dry_fruits_&_dates---fateh,MADINA AJWA DATES PACK 500 GM,"Rs.2,295",https://alfatah.pk/products/madina-ajwa-dates-pack-500-gm,Dry Fruits & Nuts,,
al-fateh,dry_fruits_&_dates---fateh,AONE PLAIN ROASTED ANISEED JAR 110 GM,Rs.210,https://alfatah.pk/products/aone-plain-roasted-aniseed-jar-110-gm,Dry Fruits & Nuts,,
al-fateh,dry_fruits_&_dates---fateh,QUILL LOTUS SEEDS 25GM,Rs.315,https://alfatah.pk/products/quill-lotus-seeds-25gm,Dry Fruits & Nuts,,
al-fateh,dry_fruits_&_dates---fateh,BLUE RIBBON PAN MASALA BOX 180 GM,Rs.130,https://alfatah.pk/products/blue-ribbon-pan-masala-box-180-gm,Dry Fruits & Nuts,,
al-fateh,dry_fruits_&_dates---fateh,MADINA MUBROOM DATES PACK 500 GM,"Rs.2,495",https://alfatah.pk/products/madina-mubroom-dates-pack-500-gm,Dry Fruits & Nuts,,
al-fateh,dry_fruits_&_dates---fateh,A ONE SUPARI PAN MASALA 130 GM,Rs.195,https://alfatah.pk/products/a-one-supari-pan-masala-150-gm,Dry Fruits & Nuts,,
al-fateh,dry_fruits_&_dates---fateh,RASIN SUNDER KHANI QANDHARI 100 GM,Rs.210,https://alfatah.pk/products/rasin-sunder-khani-qandhari-100-gm,Dry Fruits & Nuts,,
al-fateh,dry_fruits_&_dates---fateh,A ONE MEETHA PAN MASALA 135 GM,Rs.195,https://alfatah.pk/products/a-one-meetha-pan-masala-135-gm,Dry Fruits & Nuts,,
al-fateh,dry_fruits_&_dates---fateh,AL RUBAB SHAHI SWAD CLASSIC 100GM,Rs.400,https://alfatah.pk/products/al-rubab-shahi-swad-classic-100gm,Dry Fruits & Nuts,,
al-fateh,dry_fruits_&_dates---fateh,MADINA KALMA DATES 800 GM PACK,"Rs.2,195",https://alfatah.pk/products/madina-kalma-dates-800-gm-pack,Dry Fruits & Nuts,,
al-fateh,dry_fruits_&_dates---fateh,MADINA MUBROOM DATES 800 GM PACK,"Rs.3,995",https://alfatah.pk/products/madina-mubroom-dates-800-gm-pack,Dry Fruits & Nuts,,
al-fateh,dry_fruits_&_dates---fateh,BEST CRUSHED ALMOND 100 GM,Rs.475,https://alfatah.pk/products/best-crushed-almond-100-gm,Dry Fruits & Nuts,,
al-fateh,dry_fruits_&_dates---fateh,AONE BADAM PAN MASALA JAR 150 GM,Rs.210,https://alfatah.pk/products/aone-badam-pan-masala-jar-150-gm,Dry Fruits & Nuts,,
al-fateh,dry_fruits_&_dates---fateh,A ONE DELUXE PAN MASALA 150 GM,Rs.195,https://alfatah.pk/products/a-one-deluxe-pan-masala-150-gm,Dry Fruits & Nuts,,
al-fateh,dry_fruits_&_dates---fateh,MADINA AJWA DATES 800 GM PACK,"Rs.3,595",https://alfatah.pk/products/madina-ajwa-dates-800-gm-pack,Dry Fruits & Nuts,,
al-fateh,dry_fruits_&_dates---fateh,BEST COCONUT CUBE 200 GM,Rs.595,https://alfatah.pk/products/best-coconut-cube-200-gm,Dry Fruits & Nuts,,
al-fateh,dry_fruits_&_dates---fateh,A ONE GOTA PAN MASALA JAR 150 GM,Rs.210,https://alfatah.pk/products/a-one-gota-pan-masala-jar-150-gm,Dry Fruits & Nuts,,
