store,name,product-link,price,category,image_url,common_category
Metro,Cola Next 1 LTR X 6,https://www.metro-online.pk/detail/beverages/soft-drinks/cola-next-1-ltr-x-6/12623797,Rs. 723,metro_post_grocery---metro,https://www.metro-online.pk/_next/image?url=%2F_next%2Fstatic%2Fmedia%2FExpres%20icon.74d0dbb5.png&w=3840&q=75,Store Brand
Metro,Veet Silk Fresh Hair Removal Lotion for Normal Skin 40GM,https://www.metro-online.pk/detail/health-and-beauty/toiletries/women-care/veet-silk--fresh-hair-removal-lotion-for-normal-skin-40gm/12626746,Rs. 248,metro_post_grocery---metro,https://www.metro-online.pk/_next/image?url=%2F_next%2Fstatic%2Fmedia%2FExpres%20icon.74d0dbb5.png&w=3840&q=75,Store Brand
Metro,Rose Petal Multi 150 Face Tissue,https://www.metro-online.pk/detail/household/house-cleaning/tissues-and-napkins/rose-petal-multi-150-face-tissue/12621121,Rs. 364,metro_post_grocery---metro,https://www.metro-online.pk/_next/image?url=%2F_next%2Fstatic%2Fmedia%2FExpres%20icon.74d0dbb5.png&w=3840&q=75,Store Brand
Metro,Pantene Shampoo Milky Extra Treatment 180ML,https://www.metro-online.pk/detail/health-and-beauty/hair-care/shampoos/pantene-shampoo-milky-extra-treatment-180ml/12624305,Rs. 450,metro_post_grocery---metro,https://www.metro-online.pk/_next/image?url=%2F_next%2Fstatic%2Fmedia%2FExpres%20icon.74d0dbb5.png&w=3840&q=75,Store Brand
Metro,Majestic Fry Pan Non Stick 26Cm (2Mm),https://www.metro-online.pk/detail/household/kitchen-utensils-and-cutlery/pots-and-pans/majestic-fry-pan-non-stick-26cm-(2mm)/12639410,"Rs. 3,000",metro_post_grocery---metro,https://www.metro-online.pk/_next/image?url=%2F_next%2Fstatic%2Fmedia%2FExpres%20icon.74d0dbb5.png&w=3840&q=75,Store Brand
Metro,Chef Wok Without Lid 28cm Non Stick (2mm),https://www.metro-online.pk/detail/household/kitchen-utensils-and-cutlery/pots-and-pans/chef-wok-without-lid-28cm-non-stick-(2mm)/12634488,"Rs. 3,599",metro_post_grocery---metro,https://www.metro-online.pk/_next/image?url=%2F_next%2Fstatic%2Fmedia%2Fhearticon.d8b376d1.png&w=48&q=75,Store Brand
Metro,Non Stick Tawa 30Cm and Frying Pan 22Cm,https://www.metro-online.pk/detail/household/kitchen-utensils-and-cutlery/pots-and-pans/non-stick-tawa-30cm-and-frying-pan-22cm/78902667,"Rs. 5,299",metro_post_grocery---metro,https://www.metro-online.pk/_next/image?url=%2F_next%2Fstatic%2Fmedia%2FExpres%20icon.74d0dbb5.png&w=3840&q=75,Store Brand
Metro,Majestic Fry Pan Nonstick 22Cm (2Mm),https://www.metro-online.pk/detail/household/kitchen-utensils-and-cutlery/pots-and-pans/majestic-fry-pan-nonstick-22cm-(2mm)/12629413,"Rs. 2,399",metro_post_grocery---metro,https://www.metro-online.pk/_next/image?url=%2F_next%2Fstatic%2Fmedia%2FExpres%20icon.74d0dbb5.png&w=3840&q=75,Store Brand
Metro,Chef Non-Stick Fry Pan (26cm),https://www.metro-online.pk/detail/household/kitchen-utensils-and-cutlery/pots-and-pans/chef-non-stick-fry-pan-(26cm)/12634437,"Rs. 4,099",metro_post_grocery---metro,https://www.metro-online.pk/_next/image?url=%2F_next%2Fstatic%2Fmedia%2Fhearticon.d8b376d1.png&w=48&q=75,Store Brand
Metro,Majestic Tawa Non Stick 30CM,https://www.metro-online.pk/detail/household/kitchen-utensils-and-cutlery/pots-and-pans/majestic-tawa-non-stick-30cm/12634440,"Rs. 4,198",metro_post_grocery---metro,https://www.metro-online.pk/_next/image?url=%2F_next%2Fstatic%2Fmedia%2FExpres%20icon.74d0dbb5.png&w=3840&q=75,Store Brand
