store,category,name,product-link,image_url,cleaned_category,cleaned_name,cleaned_quantity,cleaned_unit,cleaned_price,price_per_unit,predicted_price_elastic_net,predicted_price_linear_regression,predicted_price_random_forest
al-fateh,baby_food---fateh,PEDIASURE NUTRI SUPPLEMENT POWDER FOR KIDS VANILLA TIN 400 G,https://alfatah.pk/products/pediasure-milk-powder-classic-vanilla-400-gm-2,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/AFP-000113817_bc0adc19-24bf-455e-81fe-14cda4c3cd43.jpg?v=1744891170,Baby Food,pediasure nutri supplement powder for kids vanilla tin,400.0,g,3295.0,8.2375,3293.5807141548275,3305.0925351558744,3303.103077086196
al-fateh,baby_food---fateh,NESTLE LACTOGEN 2 MILK POWDER COMFORTIS PULS 800 GM,https://alfatah.pk/products/nestle-lactogen-2-comfortis-puls-100-lactose-800-gm,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/NewProject-2025-06-11T113044.574.png?v=1749623514,Baby Food,nestle lactogen 2 milk powder comfortis puls,800.0,g,2795.0,3.49375,2757.9561516854064,2753.7721532628702,2742.143508388482
al-fateh,baby_food---fateh,NESTLE CERELAC WHEAT STAGE 1 350 GM,https://alfatah.pk/products/nestle-cerelac-wheat-stage-1-350-gm,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/Wheat-F_2572795c-3ac0-4993-8c3e-e84b6cfd6e88.jpg?v=1749628844,Baby Food,nestle cerelac wheat stage 1,350.0,g,845.0,2.414285714285714,869.1788295004508,865.6376010953086,857.00855648914
al-fateh,baby_food---fateh,MEIJI BIG MILK POWDER VANILLA TIN 3 400 GM,https://alfatah.pk/products/meiji-big-milk-powder-vanilla-3-400-gm,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/NewProject_2_e20ef52f-1ded-4dee-bd4e-4021a8d8ada4.png?v=1750339667,Baby Food,meiji big milk powder vanilla tin 3,400.0,g,2245.0,5.6125,2201.792280058864,2203.9378690650888,2249.884320772448
al-fateh,baby_food---fateh,NESTLE CERELAC THREE FRUITS AND WHEAT 175 GM,https://alfatah.pk/products/nestle-cerelac-three-fruits-and-wheat-175-gm,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/3Fruit-Fjpg.jpg?v=1749628367,Baby Food,nestle cerelac three fruits and wheat,175.0,g,440.0,2.5142857142857142,451.50592839746565,449.576086293314,440.1025359482125
al-fateh,baby_food---fateh,NESTLE MILK POWDER BUNYAD POUCH 900 GM,https://alfatah.pk/products/nestle-milk-powder-bunyad-pouch-910-gm,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/NewProject_1_175f952f-1b42-4ef1-a46b-faefb9adb64f.png?v=1749560788,Baby Food,nestle milk powder bunyad pouch,900.0,g,1795.0,1.9944444444444445,1901.986088356071,1893.4410264858684,1864.3166396774695
al-fateh,baby_food---fateh,MEIJI LACTOLESS LACTOSE FREE FORMULA 350 GM,https://alfatah.pk/products/meiji-lactoless-lactose-free-formula-350-gm,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/AFP-000128037.jpg?v=1743759894,Baby Food,meiji lactoless lactose free formula,350.0,g,2245.0,6.414285714285715,2212.7255568206,2216.6132988489876,1797.4115348910445
al-fateh,baby_food---fateh,SEARLE PREP-UP WHEAT MILK AND HONEY 6MONTHS 175GM,https://alfatah.pk/products/searle-prep-up-wheat-milk-and-honey-6months-175gm,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/AFP-000332649.jpg?v=1744892392,Baby Food,searle prep-up wheat milk and honey 6months,175.0,g,445.0,2.5428571428571427,455.93949392667065,454.01845495732664,443.1733125415219
al-fateh,baby_food---fateh,NESTLE LACTOGEN 1 MILK POWDER COMFORTIS PLUS 400 GM,https://alfatah.pk/products/nestle-lactogen-1-milk-powder-gentle-start-400-gm,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/NewProject-2025-06-11T112719.424.png?v=1749623251,Baby Food,nestle lactogen 1 milk powder comfortis plus,400.0,g,1395.0,3.4875,1380.160711962237,1377.480705303058,1405.4681154522375
al-fateh,baby_food---fateh,PREP UP GOLD OATS MILK HONEY 175 GM,https://alfatah.pk/products/prep-up-gold-oats-milk-honey-175-gm,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/7531803359406_32fdada6-bb6d-4372-ad23-51c1b2d10c35.jpg?v=1750336249,Baby Food,prep up gold oats milk honey,175.0,g,545.0,3.1142857142857143,546.0865961870676,544.3996366073842,547.1065394069429
