store,category,name,price,product_link
al-fateh,Dry Fruits & Dates,MAIZBAN PAN MASALA CARDAMOMS 200GM,Rs.425,https://alfatah.pk/products/maizban-pan-masala-cardamoms-200gm
al-fateh,Dry Fruits & Dates,MAIZBAN PAN MASALA PREMIUM QUALITY 200GM,Rs.425,https://alfatah.pk/products/maizban-pan-masala-premium-quality-200gm
al-fateh,Dry Fruits & Dates,NUTRI SONF SWEET ROASTED 100 GM,Rs.495,https://alfatah.pk/products/nutri-sonf-sweet-roasted-100-gm
al-fateh,Dry Fruits & Dates,NUTRI TULSI PAN MASALA 150 GM,Rs.160,https://alfatah.pk/products/nutri-tulsi-pan-masala-150-gm
al-fateh,Dry Fruits & Dates,MAIZBAN CHOCO N CHOCO SAUNF 250 GM,Rs.425,https://alfatah.pk/products/maizban-choco-n-choco-saunf-250-gm
al-fateh,Dry Fruits & Dates,ECO DRY APRICOT 200GM,Rs.435,https://alfatah.pk/products/eco-dry-apricot-200gm
al-fateh,Dry Fruits & Dates,NUTRI SUPARI PAN MASALA JAR 100 GM,Rs.495,https://alfatah.pk/products/nutri-supari-pan-masala-jar-100-gm
al-fateh,Dry Fruits & Dates,MARHABA ARQ SAUNF 240 ML,Rs.125,https://alfatah.pk/products/marhaba-arq-saunf-240-ml
al-fateh,Dry Fruits & Dates,MAIZBAN MAGIC TASTE SAUNF 150GM,Rs.425,https://alfatah.pk/products/maizban-magic-taste-saunf-150gm
al-fateh,Dry Fruits & Dates,PATIENCE ORGANIC CRANBERRIES 113GM,"Rs.2,895",https://alfatah.pk/products/patience-organic-cranberries-113gm
al-fateh,Dry Fruits & Dates,SHAHI MEVA MIXED DRY FRUITS 216 GM,Rs.240,https://alfatah.pk/products/shahi-meva-mixed-dry-fruits-216-gm
al-fateh,Dry Fruits & Dates,MAIZBAN PAN MASALA ELACHI PLUS 200GM,Rs.425,https://alfatah.pk/products/maizban-pan-masala-elachi-plus-200gm
al-fateh,Dry Fruits & Dates,MAIZBAN CLASSIC SWEET SAUNF 200 GM,Rs.425,https://alfatah.pk/products/maizban-classic-sweet-saunf-250-gm
al-fateh,Dry Fruits & Dates,LIFE STYLE PUMPKIN SEEDS 250 GM,"Rs.1,795",https://alfatah.pk/products/life-style-pumpkin-seeds-250-gm
al-fateh,Dry Fruits & Dates,RASILY SUPARI 48 PCS 72 GM,Rs.240,https://alfatah.pk/products/rasily-supari-48-pcs-72-gm
al-fateh,Dry Fruits & Dates,LAREENO CHESTNUTS ORGANIC PEELED ROASTED 100 GM,"Rs.1,495",https://alfatah.pk/products/lareeno-chestnuts-organic-peeled-roasted-100-gm
al-fateh,Dry Fruits & Dates,BLUE DIAMOND TOASTED ALMONDS NATURAL TIN 130 GM,"Rs.2,095",https://alfatah.pk/products/blue-diamond-toasted-almonds-natural-tin-130-gm
al-fateh,Dry Fruits & Dates,BEST SWEET CHANA 200 GM,Rs.350,https://alfatah.pk/products/best-sweet-chana-200-gm
al-fateh,Dry Fruits & Dates,LIFE STYLE BASIL SEED 250 GM,Rs.945,https://alfatah.pk/products/life-style-basil-seed-250-gm
al-fateh,Dry Fruits & Dates,NUTRI ANMOL MIX PAN MASALA JAR 150 GM,Rs.260,https://alfatah.pk/products/nutri-anmol-mix-pan-masala-jar-150-gm
al-fateh,Dry Fruits & Dates,BLUE DIAMOND ALMONDS HONEY ROASTED TIN 130 GM,"Rs.2,095",https://alfatah.pk/products/blue-diamond-almonds-honey-roasted-tin-130-gm
al-fateh,Dry Fruits & Dates,MARYAM DATES PLAIN 560 GM,"Rs.1,526Rs.1,795",https://alfatah.pk/products/maryam-dates-plain-560-gm
al-fateh,Dry Fruits & Dates,BLUE DIAMOND CASHEW NUTS ROASTED SALTED TIN 135 GM,"Rs.2,095",https://alfatah.pk/products/blue-diamond-cashew-nuts-roasted-salted-tin-135-gm
al-fateh,Dry Fruits & Dates,BLUE DIAMOND ROASTED ALMONDS BARBECUE TIN 130 GM,"Rs.2,095",https://alfatah.pk/products/blue-diamond-roasted-almonds-barbecue-tin-130-gm
al-fateh,Dry Fruits & Dates,BLUE DIAMOND CASHEW NUTS HONEY ROASTED TIN 135 GM,"Rs.2,095",https://alfatah.pk/products/blue-diamond-cashew-nuts-honey-roasted-tin-135-gm
al-fateh,Dry Fruits & Dates,BEST PEANUT SWEET 200 GM,Rs.320,https://alfatah.pk/products/best-peanut-sweet-200-gm
al-fateh,Dry Fruits & Dates,NUTRI KASMIRI PAN MASALA -POUCH PACK 70 GM,Rs.145,https://alfatah.pk/products/nutri-kasmiri-pan-masala-pouch-pack-70-gm
al-fateh,Dry Fruits & Dates,NIKKIS MAROONDA 250GM,Rs.495,https://alfatah.pk/products/nikkis-maroonda-250gm
al-fateh,Dry Fruits & Dates,RASIN SUNDER KHANI QANDHARI 1 KG BASIC,"Rs.2,100",https://alfatah.pk/products/rasin-sunder-khani-qandhari-1-kg-basic
al-fateh,Dry Fruits & Dates,AROMA MINI NUTS BAR,Rs.399,https://alfatah.pk/products/aroma-mini-nuts-bar
al-fateh,Dry Fruits & Dates,BEST FRIED PEANUT BRBQ 200 GM,Rs.385,https://alfatah.pk/products/best-fried-peanut-brbq-200-gm
al-fateh,Dry Fruits & Dates,MARYAM DATES ALMOND 560 GM,"Rs.1,951Rs.2,295",https://alfatah.pk/products/maryam-dates-almond-560-gm
al-fateh,Dry Fruits & Dates,QUILL SUN FLOWER SEEDS 150GM,Rs.890,https://alfatah.pk/products/quill-sun-flower-seeds-150gm-1
al-fateh,Dry Fruits & Dates,AL-NASEEB PEANUT WITH SHELL 400 GM PC,Rs.640,https://alfatah.pk/products/al-naseeb-peanut-with-shell-400-gm-pc
al-fateh,Dry Fruits & Dates,FF N&M GREEN ELAICHI 60 GM,"Rs.1,080",https://alfatah.pk/products/ff-n-m-green-elaichi-50-gm
al-fateh,Dry Fruits & Dates,FF N&M CASHEW MASALA 250 GM,"Rs.1,650",https://alfatah.pk/products/ff-n-m-cashew-masala-250-gm
al-fateh,Dry Fruits & Dates,AL-NASEEB 200 GM DRY APRICOT WITH SEED,Rs.456,https://alfatah.pk/products/al-naseeb-200-gm-dry-apricot-with-seed
al-fateh,Dry Fruits & Dates,AL-NASEEB 100 GM ALMOND GOLDEN W/O SHELL,Rs.408,https://alfatah.pk/products/al-naseeb-100-gm-almond-golden-w-o-shell
al-fateh,Dry Fruits & Dates,AL-NASEEB 400 GM CASHEWNUTS ROASTED,"Rs.2,160",https://alfatah.pk/products/al-naseeb-400-gm-cashewnuts-roasted
al-fateh,Dry Fruits & Dates,AL-NASEEB 200 GM RAISIN BLACK,Rs.432,https://alfatah.pk/products/al-naseeb-200-gm-raisin-black
al-fateh,Dry Fruits & Dates,AL-NASEEB 200 GM PISTACHIO EXCELIENCE ROASTED,"Rs.1,100",https://alfatah.pk/products/al-naseeb-200-gm-pistachio-excelience-roasted
al-fateh,Dry Fruits & Dates,AL-NASEEB 100 GM MIX DRY FRUIT SPECIAL,"Rs.468 - Rs.1,872",https://alfatah.pk/products/al-naseeb-200-gm-mix-dry-fruit-special
al-fateh,Dry Fruits & Dates,AL-NASEEB 200 GM PUMPKIN SEED SALTED LONG,Rs.356,https://alfatah.pk/products/al-naseeb-200-gm-pumpkin-seed-salted-long
al-fateh,Dry Fruits & Dates,SUNFLOWER SEEDS ROASTED200 GM PC,Rs.176,https://alfatah.pk/products/sunflower-seeds-roasted200-gm-pc
al-fateh,Dry Fruits & Dates,AL NASEEB SUN FLOWER SEED PLAIN 200 GM,Rs.176,https://alfatah.pk/products/al-naseeb-sun-flower-seed-plain-200-gm
al-fateh,Dry Fruits & Dates,AL-NASEEB 200 GM DRY DATES BLACK,Rs.190,https://alfatah.pk/products/al-naseeb-200-gm-dry-dates-black
al-fateh,Dry Fruits & Dates,AL NASEEB CHAR MAGAZ 100GM PC,Rs.298,https://alfatah.pk/products/al-naseeb-char-magaz-100gm-pc
al-fateh,Dry Fruits & Dates,AL-NASEEB 100 GM COCONUT CHOPED,Rs.198,https://alfatah.pk/products/al-naseeb-100-gm-coconut-choped
